short_name,capacity,lon,name,station_id,lat,region_id,address
RP-009,23,-87.6611982433,Sheridan Rd & Loyola Ave,a3ae87fa-a135-11e9-9cda-0a87ae2ba916,42.00104377979,,
13135,15,-87.661535,Blue Island Ave & 18th St,a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,41.857556,,
23180,15,-87.746895,Cicero Ave & Wrightwood Ave,1890605196211329420,41.927954,,
15491,15,-87.57632374763489,63rd St Beach,a3a547b8-a135-11e9-9cda-0a87ae2ba916,41.78091096424803,,
TA1305000037,15,-87.66993016004562,Paulina Ave & North Ave,a3a3b202-a135-11e9-9cda-0a87ae2ba916,41.90985465216731,,
TA1307000143,15,-87.638566,Sedgwick St & Schiller St,a3a854bf-a135-11e9-9cda-0a87ae2ba916,41.907626,,
TA1309000003,7,-87.685109,Western Ave & 24th St,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,41.84847,,
20103,15,-87.6675239,Prospect Sq & 91st St,f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,41.7282338,,
20208,15,-87.63711333274841,Major Taylor Trail & 124th St,732c9f35-0c82-4128-acc3-2cf447298b1d,41.66869635332246,,
13389,23,-87.649603,Clarendon Ave & Junior Ter,a3a8855c-a135-11e9-9cda-0a87ae2ba916,41.961004,,
TA1309000067,15,-87.606615,Cottage Grove Ave & 51st St,a3ac30c5-a135-11e9-9cda-0a87ae2ba916,41.803038,,
KA1504000097,15,-87.7165690733,Drake Ave & Montrose Ave,a3af9a83-a135-11e9-9cda-0a87ae2ba916,41.96115407569,,
13124,15,-87.6344287848,Cannon Dr & Fullerton Ave,a3a41004-a135-11e9-9cda-0a87ae2ba916,41.9267559875,,
23119,15,-87.695518,Francisco Ave & 85th St,1879436840905128284,41.738902,,
TA1309000041,19,-87.654691,Sheridan Rd & Lawrence Ave,a3aaa68b-a135-11e9-9cda-0a87ae2ba916,41.969517,,
594,11,-87.683392,Western Blvd & 48th Pl,a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,41.805661,,
20215,15,-87.54608988761902,Hegewisch Metra Station,ff21c158-de98-46c6-9ef7-7082bdb7c634,41.64850076266409,,
20105,15,-87.6430195569992,Halsted St & 96th St,a21de1a5-f5bc-4b50-8a13-aa28b7dcfa95,41.719712183618824,,
